hotelid,zone,mgrgroup,gdlat,gdlon,isstraightconnect,star
87268,-1,0,NULL,NULL,F,0
87692,211,0,31.31270027,120.6369171,F,2
87737,211,0,31.32247925,120.6338196,F,2
88145,211,0,31.27756691,120.6086884,F,2
88593,211,0,31.31102943,120.6275482,F,2
88871,211,0,31.30968285,120.6178207,F,2
89082,689,0,31.3123703,120.6077194,F,2
89149,-1,0,31.2539463,120.6313248,F,2
89590,208,0,31.32883072,120.6228409,F,2
89653,689,0,31.30776024,120.5964966,F,2
90119,209,0,31.32735062,120.8037567,F,2
90605,-1,0,31.27011871,120.8644028,F,2
90617,715,0,31.28845406,120.625,F,2
91418,210,0,31.30512047,120.5633774,F,2
91604,4041,0,31.15700531,120.7189713,F,2
91622,211,0,-1,-1,F,2
91898,-1,0,31.26941681,120.8655853,F,2
92190,NULL,0,NULL,NULL,F,0
93198,1060,0,31.32919121,120.7102585,F,2
93450,-1,0,-1,-1,F,0
93517,-1,0,31.29769516,120.734726,F,2
93743,-1,0,NULL,NULL,F,0
94161,689,0,31.3088932,120.596817,F,2
94182,-1,0,31.25223732,120.6293411,F,3
94205,-1,0,NULL,NULL,F,0
94739,-1,321,31.16312027,120.6315002,F,2
98791,211,0,31.30997658,120.626152,F,2
98921,212,0,31.29720688,120.6196671,F,2
99061,-1,0,31.25024986,120.6634674,F,2
99068,865,321,-1,-1,F,2
101592,211,0,31.31555939,120.6200562,F,3
102191,NULL,0,-1,-1,F,2
102331,689,0,-1,-1,F,2
103160,-1,162,-1,-1,F,5
103208,-1,0,31.16520309,120.7236786,F,5
103214,656,0,31.24356079,120.4916611,F,5
103324,209,0,31.2964344,120.6892548,F,5
103335,-1,0,31.27949905,120.4533997,F,4
103352,210,0,31.32957077,120.4280472,F,5
103400,210,0,31.28968048,120.568306,F,4
103403,209,28,31.28212738,120.7076569,F,5
103412,-1,0,31.20078087,120.5590286,F,5
103676,211,0,31.31338692,120.6248703,F,2
103692,864,0,31.24991226,120.5149231,F,2
104674,210,0,-1,-1,F,2
105274,928,0,31.26799393,120.8683853,F,2
112972,-1,0,31.21343231,120.5460281,F,2
113354,211,290,31.31290054,120.6231995,F,3
113489,-1,0,-1,-1,F,2
113600,208,0,31.34235382,120.6136475,F,2
114262,1060,0,31.3001442,120.6517792,F,2
115507,-1,0,31.36638451,120.460762,F,2
119308,-1,0,31.1615963,120.6451492,F,2
119767,211,290,-1,-1,F,4
120691,211,322,31.29978561,120.6176682,T,2
121330,863,0,31.49577713,120.8090286,F,2
121580,-1,0,31.14229965,120.6408157,F,2
121817,-1,0,30.89879417,120.6449585,F,3
124670,212,32,31.28218269,120.6107483,F,4
125633,210,0,31.31156158,120.5768661,F,2
126491,-1,0,31.07413101,120.2974091,F,2
126606,-1,0,-1,-1,F,2
127164,689,0,31.3122654,120.5877457,F,2
130113,211,0,-1,-1,F,2
131675,210,0,31.36262512,120.4629288,F,0
131796,NULL,NULL,-1,-1,F,2
131922,211,290,31.31067467,120.6173935,F,3
133721,210,0,31.3660965,120.4948807,F,2
135459,-1,0,31.15125847,120.7256241,F,2
136240,211,0,-1,-1,F,2
136490,NULL,NULL,-1,-1,F,2
138181,-1,0,-1,-1,F,2
138865,NULL,0,-1,-1,F,2
138878,NULL,NULL,-1,-1,F,2
139513,689,0,31.31207657,120.5815887,F,3
139947,211,0,31.3178196,120.6278839,F,2
140276,865,0,31.42397881,120.609436,F,2
140693,-1,0,31.15608788,120.7275467,F,0
140709,-1,0,31.15731621,120.7191925,F,3
140968,689,321,31.31364822,120.5894547,F,2
142123,211,0,31.32086563,120.6293945,F,2
142319,-1,0,31.15508652,120.7195129,F,2
142322,689,321,31.31074905,120.5881271,F,2
143622,689,0,31.30975914,120.6024399,F,0
143647,689,0,31.31053352,120.602562,F,2
143717,211,0,31.31145477,120.6214905,F,2
145039,NULL,0,-1,-1,F,3
145274,209,0,31.31353569,120.6706085,F,2
146153,864,0,31.27506256,120.5175858,F,2
147834,211,0,31.30971336,120.6271286,F,2
176639,209,0,31.2761898,120.7415085,F,2
222071,715,0,31.29758644,120.6453018,F,2
255149,212,0,31.28395271,120.6269455,F,2
261414,-1,0,31.16146278,120.6367416,F,2
276343,1060,0,31.36249161,120.7159119,F,3
303798,-1,0,-1,-1,F,2
336677,1060,0,-1,-1,F,3
346847,-1,0,-1,-1,F,0
346924,-1,0,-1,-1,F,0
351642,211,480,NULL,NULL,F,4
351642,211,480,NULL,NULL,T,4
351642,211,480,31.30851746,120.6360016,F,4
351661,1060,32,31.32174683,120.711525,F,5
351661,1060,32,NULL,NULL,T,5
351661,1060,32,NULL,NULL,F,5
352012,210,0,31.28186035,120.5323181,F,2
352934,1060,0,NULL,NULL,T,5
352934,1060,0,NULL,NULL,F,5
352934,1060,0,31.28451157,120.7147369,F,5
352941,12376,263,NULL,NULL,F,4
352941,12376,263,NULL,NULL,T,4
352941,12376,263,31.21634865,120.5942917,F,4
352972,212,0,31.29041862,120.6170502,F,5
352972,212,0,NULL,NULL,F,5
352972,212,0,NULL,NULL,T,5
353180,210,0,31.29355049,120.5583038,F,2
353719,1060,22,31.31421089,120.6646729,F,5
353719,1060,22,NULL,NULL,F,5
353719,1060,22,NULL,NULL,T,5
353729,209,37,NULL,NULL,F,5
353729,209,37,NULL,NULL,T,5
353729,209,37,31.26065063,120.7211227,F,5
354071,12378,0,NULL,NULL,F,5
354071,12378,0,NULL,NULL,T,5
354071,12378,0,31.16341591,120.7283707,F,5
354135,715,0,31.29737091,120.6454239,F,2
354252,208,0,31.32859993,120.5687485,F,2
360705,-1,0,31.04227066,120.8498917,F,3
360972,689,0,31.31909943,120.5888748,F,2
372376,-1,0,-1,-1,F,2
375003,12378,0,NULL,NULL,F,5
375003,12378,0,NULL,NULL,T,5
375003,12378,0,31.1584568,120.6882477,F,5
376630,211,162,NULL,NULL,T,5
376630,211,162,31.30706787,120.6254883,F,5
376630,211,162,NULL,NULL,F,5
376665,715,0,31.29751205,120.6320496,F,5
376665,715,0,NULL,NULL,F,5
376665,715,0,NULL,NULL,T,5
376673,1060,0,NULL,NULL,T,5
376673,1060,0,NULL,NULL,F,5
376673,1060,0,31.31793785,120.7121277,F,5
376734,1060,162,NULL,NULL,T,5
376734,1060,162,NULL,NULL,F,5
376734,1060,162,31.29565239,120.6790237,F,5
376800,1060,22,NULL,NULL,T,4
376800,1060,22,NULL,NULL,F,4
376800,1060,22,31.31604576,120.6708145,F,4
376800,1060,22,31.31604004,120.6708984,F,4
376834,1060,32,31.32200432,120.6823044,F,5
376834,1060,32,NULL,NULL,T,5
376834,1060,32,NULL,NULL,F,5
376841,1060,22,31.31421089,120.6646729,F,5
376846,209,28,NULL,NULL,T,5
376846,209,28,31.28212738,120.7076569,F,5
376846,209,28,NULL,NULL,F,5
377893,12375,0,31.2672596,120.6426163,F,2
380338,-1,0,-1,-1,F,2
382321,-1,0,31.25586891,120.5097427,F,3
382749,209,0,NULL,NULL,T,5
382749,209,0,31.26591873,120.7213974,F,5
382749,209,0,NULL,NULL,F,5
382765,1060,0,31.2986908,120.6961212,F,4
382765,1060,0,NULL,NULL,F,4
382765,1060,0,NULL,NULL,T,4
382789,1060,559,NULL,NULL,T,4
382789,1060,559,31.32406425,120.7187347,F,4
382789,1060,559,NULL,NULL,F,4
382884,1060,331,31.28721619,120.6761703,F,4
382884,1060,331,NULL,NULL,F,4
382884,1060,331,NULL,NULL,T,4
385765,1060,162,NULL,NULL,T,4
385765,1060,162,31.34530258,120.6979523,F,4
385765,1060,162,NULL,NULL,F,4
385788,208,0,NULL,NULL,F,4
385788,208,0,31.36202812,120.6099319,F,4
385788,208,0,NULL,NULL,T,4
386366,NULL,NULL,31.36034393,120.5107956,T,0
387186,NULL,NULL,31.32457924,120.7327271,T,0
387209,NULL,NULL,31.33031654,120.7786942,T,0
389778,-1,0,31.31976318,120.6197205,F,0
392426,210,0,NULL,NULL,F,5
392426,210,0,NULL,NULL,T,5
392426,210,0,31.29381943,120.5717773,F,5
392481,689,0,NULL,NULL,F,4
392481,689,0,31.31867409,120.5901566,F,4
392481,689,0,NULL,NULL,T,4
394084,0,0,31.37617302,120.516243,F,3
394138,12375,162,31.25635529,120.6292343,F,2
394138,12375,162,NULL,NULL,F,2
394138,12375,162,NULL,NULL,T,2
394209,211,0,NULL,NULL,T,3
394209,211,0,31.30866623,120.6266785,F,3
394209,211,0,NULL,NULL,F,3
394605,-1,0,31.2791214,120.6699677,F,2
394703,864,0,31.25555038,120.5408707,F,2
394851,NULL,NULL,-1,-1,F,2
399307,211,331,NULL,NULL,F,5
399307,211,331,31.31921387,120.6331635,F,5
399307,211,331,NULL,NULL,T,5
400229,689,0,NULL,NULL,F,4
400229,689,0,31.2997303,120.6015549,F,4
400229,689,0,NULL,NULL,T,4
400319,211,0,NULL,NULL,F,3
400319,211,0,31.31743431,120.6261292,F,3
400451,211,0,31.31277847,120.6274338,F,2
400713,211,0,NULL,NULL,T,4
400713,211,0,31.30915642,120.6264725,F,4
400713,211,0,NULL,NULL,F,4
400713,211,NULL,NULL,NULL,F,4
400737,211,0,31.30915642,120.6264725,F,4
401086,209,0,31.3621254,120.8035049,F,2
401156,211,5,NULL,NULL,F,3
401156,211,5,NULL,NULL,T,3
401156,211,5,31.31016159,120.6296463,F,3
401181,715,0,31.29751205,120.6320496,F,5
401736,-1,0,31.15843391,120.6548843,F,2
404224,12375,0,31.25226402,120.6356735,F,4
404224,12375,0,NULL,NULL,T,4
404224,12375,0,NULL,NULL,F,4
404228,0,7,31.25257874,120.6361618,F,5
404299,-1,0,-1,-1,F,2
404868,863,0,NULL,NULL,T,5
404868,863,0,31.41750526,120.7878036,F,5
404868,863,0,NULL,NULL,F,5
405110,211,0,NULL,NULL,T,4
405110,211,0,31.31184578,120.623436,F,4
405110,211,0,NULL,NULL,F,4
405593,NULL,NULL,-1,-1,F,2
424216,211,0,31.30721855,120.6306839,F,2
424248,1060,0,NULL,NULL,F,5
424248,1060,0,NULL,NULL,T,5
424248,1060,0,31.32091331,120.6822433,F,5
425560,208,0,NULL,NULL,F,4
425560,208,0,31.34520721,120.6165161,F,4
425560,208,0,NULL,NULL,T,4
427497,210,32,NULL,NULL,T,4
427497,210,32,NULL,NULL,F,4
427497,210,32,31.27950859,120.5498123,F,4
427515,1060,0,NULL,NULL,F,3
427515,1060,0,31.31601906,120.7400742,F,3
427515,1060,0,NULL,NULL,T,3
427624,NULL,NULL,-1,-1,F,2
432833,211,0,NULL,NULL,T,3
432833,211,0,31.32689857,120.6361847,F,3
432833,211,0,NULL,NULL,F,3
433206,212,32,31.2813282,120.6088486,F,4
433206,212,32,NULL,NULL,T,4
433206,212,32,NULL,NULL,F,4
434059,211,0,NULL,NULL,F,5
434059,211,0,31.3155117,120.6324997,F,5
434059,211,0,NULL,NULL,T,5
434077,211,0,31.3155117,120.6324997,F,5
434336,12376,0,NULL,NULL,T,5
434336,12376,0,31.21269798,120.5568085,F,5
434336,12376,0,NULL,NULL,F,5
435150,689,0,NULL,NULL,T,4
435150,689,0,31.31416893,120.5900421,F,4
435150,689,0,NULL,NULL,F,4
435498,689,22,31.30263138,120.583107,F,5
435498,689,22,NULL,NULL,F,5
435498,689,22,NULL,NULL,T,5
436130,208,3,NULL,NULL,T,2
436130,208,3,NULL,NULL,F,2
436130,208,3,31.32782364,120.6220322,F,2
436187,211,3,31.311903,120.6250839,F,2
436187,211,3,NULL,NULL,T,2
436236,689,3,31.3114872,120.6006165,F,2
436236,689,3,NULL,NULL,T,2
437921,NULL,NULL,-1,-1,F,2
438233,210,21,NULL,NULL,F,5
438233,210,21,31.29217339,120.5570374,F,5
438233,210,21,NULL,NULL,T,5
438637,210,11,NULL,NULL,T,4
438637,210,11,NULL,NULL,F,4
438637,210,11,31.30216789,120.5494766,F,4
438644,1060,11,31.30944443,120.6722641,F,4
438644,1060,11,NULL,NULL,T,4
438644,1060,11,NULL,NULL,F,4
438861,209,10,NULL,NULL,F,4
438861,209,10,31.33008957,120.7790985,F,4
438861,209,10,NULL,NULL,T,4
439053,689,32,31.31196022,120.6018066,F,4
439053,689,32,NULL,NULL,F,4
439053,689,32,NULL,NULL,T,4
439740,656,0,NULL,NULL,F,5
439740,656,0,31.09622002,120.4131622,F,5
439740,656,0,NULL,NULL,T,5
439754,689,0,31.2969265,120.6030197,F,2
440020,210,0,31.29411507,120.5655823,F,4
440020,210,0,NULL,NULL,F,4
440020,210,0,NULL,NULL,T,4
440993,689,162,31.30545044,120.6049957,F,2
440993,689,162,NULL,NULL,F,2
440993,689,162,NULL,NULL,T,2
441209,211,0,NULL,NULL,F,4
441209,211,0,NULL,NULL,T,4
441209,211,0,31.30051231,120.6187439,F,4
441291,210,331,31.28848457,120.561554,F,4
441291,210,331,NULL,NULL,F,4
441291,210,331,NULL,NULL,T,4
441962,209,37,31.26065063,120.7211227,F,4
442850,211,0,NULL,NULL,T,3
442850,211,0,NULL,NULL,F,3
442850,211,0,31.30847168,120.6257095,F,3
442909,1060,327,31.30163765,120.6955414,F,5
442909,1060,327,NULL,NULL,F,5
442909,1060,327,NULL,NULL,T,5
442965,863,0,31.37916565,120.7259521,F,4
442965,863,0,NULL,NULL,F,4
443173,210,0,31.29372978,120.552269,F,3
443173,210,0,NULL,NULL,F,3
443173,210,0,NULL,NULL,T,3
443230,1060,51,NULL,NULL,F,5
443230,1060,51,NULL,NULL,T,5
443230,1060,51,31.29591179,120.666832,F,5
443364,-1,0,NULL,NULL,T,4
443364,-1,0,NULL,NULL,F,4
443364,-1,0,31.24625778,120.6156693,F,4
443426,689,0,NULL,NULL,F,4
443426,689,0,31.31071854,120.5922394,F,4
443426,689,0,NULL,NULL,T,4
443503,12375,0,NULL,NULL,F,4
443503,12375,0,31.26666641,120.6283035,F,4
443539,-1,0,NULL,NULL,F,3
443539,-1,0,31.37203217,120.7118378,F,3
443563,863,0,NULL,NULL,F,3
443563,863,0,NULL,NULL,T,3
443563,863,0,31.37350273,120.7368317,F,3
443793,865,0,31.45412254,120.7079926,F,5
443793,865,0,NULL,NULL,T,5
443793,865,0,NULL,NULL,F,5
444258,210,331,31.36789131,120.4610825,F,4
444258,210,331,NULL,NULL,T,4
444258,210,331,NULL,NULL,F,4
444296,210,331,31.36789131,120.4610825,F,4
444381,211,0,NULL,NULL,F,3
444381,211,0,NULL,NULL,T,3
444381,211,0,31.30701256,120.623024,F,3
444391,-1,0,31.06557655,120.2952118,F,2
444547,656,0,31.2396965,120.4871826,F,4
444547,656,0,NULL,NULL,F,4
444549,211,0,NULL,NULL,F,3
444549,211,0,31.30554962,120.6150131,F,3
444549,211,0,NULL,NULL,T,3
444721,208,0,NULL,NULL,F,2
444721,208,0,31.33261681,120.5969696,F,2
444721,208,0,NULL,NULL,T,2
444756,211,0,NULL,NULL,F,3
444756,211,0,NULL,NULL,T,3
444756,211,0,31.30922508,120.6093292,F,3
444795,715,0,NULL,NULL,T,4
444795,715,0,NULL,NULL,F,4
444795,715,0,31.29953384,120.6227341,F,4
444864,656,0,NULL,NULL,T,3
444864,656,0,NULL,NULL,F,3
444864,656,0,31.11120033,120.40448,F,3
445072,211,281,NULL,NULL,F,2
445072,211,281,31.31111526,120.6184464,F,2
445072,211,281,NULL,NULL,T,2
445115,211,281,31.30104256,120.616806,F,2
445115,211,281,NULL,NULL,T,2
445115,211,281,NULL,NULL,F,2
445230,12375,0,31.28010368,120.6347427,F,2
445230,12375,0,NULL,NULL,F,2
445230,12375,0,NULL,NULL,T,2
445705,715,0,31.29415321,120.6378708,F,4
445705,715,0,NULL,NULL,F,4
446144,-1,0,-1,-1,F,2
446299,210,0,NULL,NULL,T,4
446299,210,0,31.29779243,120.554985,F,4
446299,210,0,NULL,NULL,F,4
446493,689,0,31.2994175,120.5978241,F,5
446493,689,0,NULL,NULL,T,5
446493,689,0,NULL,NULL,F,5
447916,656,0,NULL,NULL,F,4
447916,656,0,NULL,NULL,T,4
447916,656,0,31.12599945,120.4723816,F,4
448029,656,0,NULL,NULL,T,5
448029,656,0,31.21329117,120.4107208,F,5
448029,656,0,NULL,NULL,F,5
448227,864,263,NULL,NULL,T,4
448227,864,263,31.27745056,120.5241318,F,4
448227,864,263,NULL,NULL,F,4
448475,-1,0,-1,-1,F,2
448674,865,0,NULL,NULL,F,4
448674,865,0,31.42996216,120.7001343,F,4
448674,865,0,NULL,NULL,T,4
449427,-1,0,-1,-1,F,2
449729,689,331,31.29860306,120.5986252,F,4
449729,689,331,NULL,NULL,F,4
449729,689,331,NULL,NULL,T,4
449982,-1,0,-1,-1,F,2
450686,211,0,31.3128109,120.6255569,F,2
451220,-1,0,-1,-1,F,2
451841,209,14,NULL,NULL,T,5
451841,209,14,NULL,NULL,F,5
451841,209,14,31.27317238,120.723175,F,5
451932,12376,0,31.20380783,120.5606842,F,4
451932,12376,0,NULL,NULL,F,4
451932,12376,0,NULL,NULL,T,4
452605,-1,0,31.09765625,120.2819214,F,2
453345,1060,559,NULL,NULL,T,5
453345,1060,559,NULL,NULL,F,5
453345,1060,559,31.31380272,120.6701202,F,5
453399,212,0,31.28907394,120.6064301,F,4
453399,212,0,NULL,NULL,T,4
453399,212,0,NULL,NULL,F,4
453563,-1,0,-1,-1,F,2
453937,211,0,NULL,NULL,F,4
453937,211,0,31.3058548,120.6230392,F,4
453937,211,0,NULL,NULL,T,4
454422,864,0,31.27548409,120.5188217,F,2
454422,864,0,NULL,NULL,F,2
454474,211,0,NULL,NULL,F,3
454474,211,0,NULL,NULL,T,3
454474,211,0,31.30506134,120.6112289,F,3
455417,1060,0,31.32992935,120.7111511,F,5
455417,1060,0,NULL,NULL,T,5
455417,1060,0,NULL,NULL,F,5
455847,863,51,NULL,NULL,F,5
455847,863,51,NULL,NULL,T,5
455847,863,51,31.44722939,120.7726517,F,5
457059,865,0,NULL,NULL,F,4
457059,865,0,31.36520576,120.6408844,F,4
457059,865,0,NULL,NULL,T,4
457639,1060,10,31.32457352,120.7301025,F,3
457639,1060,10,NULL,NULL,F,3
457639,1060,10,NULL,NULL,T,3
458431,1060,0,31.28770828,120.6667328,F,4
458431,1060,0,NULL,NULL,F,4
458431,1060,0,NULL,NULL,T,4
458543,NULL,NULL,-1,-1,F,2
458558,NULL,NULL,-1,-1,F,2
458583,865,0,31.37684631,120.6386108,F,3
458583,865,0,NULL,NULL,T,3
458583,865,0,NULL,NULL,F,3
458590,NULL,NULL,-1,-1,F,2
458650,NULL,NULL,-1,-1,F,2
458687,NULL,NULL,-1,-1,F,2
459432,1060,0,31.32256699,120.718338,F,3
459432,1060,0,NULL,NULL,F,3
459432,1060,0,NULL,NULL,T,3
460451,689,0,31.31103325,120.6032181,F,2
461483,210,340,NULL,NULL,F,5
461483,210,340,NULL,NULL,T,5
461483,210,340,31.32836914,120.4264984,F,5
461590,656,0,NULL,NULL,F,3
461590,656,0,NULL,NULL,T,3
461590,656,0,31.1438427,120.3268204,F,3
461897,211,0,NULL,NULL,T,3
461897,211,0,NULL,NULL,F,3
461897,211,0,31.31255341,120.6341629,F,3
462197,210,10,NULL,NULL,T,3
462197,210,10,NULL,NULL,F,3
462197,210,10,31.29476547,120.541626,F,3
462210,210,10,31.3603096,120.5099869,F,3
462210,210,10,NULL,NULL,F,3
462210,210,10,NULL,NULL,T,3
462931,-1,0,31.15988159,120.6401596,F,2
463895,-1,0,-1,-1,F,2
464340,12375,0,31.27960014,120.6294708,F,2
464470,656,0,31.21831512,120.3917847,F,5
464470,656,0,NULL,NULL,F,5
464470,656,0,NULL,NULL,T,5
465000,210,0,31.29401779,120.5652237,F,5
465000,210,0,NULL,NULL,T,5
465000,210,0,NULL,NULL,F,5
465086,-1,162,31.21634865,120.5942917,F,5
465907,863,0,31.41750526,120.7878036,F,5
465984,-1,162,31.21634865,120.5942917,F,5
466319,656,0,31.26880836,120.4425201,F,4
466319,656,0,NULL,NULL,T,4
466319,656,0,NULL,NULL,F,4
466354,NULL,NULL,-1,-1,F,2
466480,-1,0,-1,-1,F,3
468493,210,331,NULL,NULL,T,4
468493,210,331,31.38285065,120.5295563,F,4
468493,210,331,NULL,NULL,F,4
478371,209,0,NULL,NULL,T,4
478371,209,0,NULL,NULL,F,4
478371,209,0,31.27477646,120.7404404,F,4
478541,1060,0,31.32218742,120.6811981,F,5
478541,1060,0,NULL,NULL,F,5
478541,1060,0,NULL,NULL,T,5
478580,863,0,31.36732864,120.7209167,F,4
478580,863,0,NULL,NULL,T,4
478580,863,0,NULL,NULL,F,4
478799,210,0,31.36870384,120.5086288,F,3
478799,210,0,NULL,NULL,F,3
478799,210,0,NULL,NULL,T,3
479763,-1,0,-1,-1,F,2
479785,-1,0,-1,-1,F,2
480402,689,0,NULL,NULL,F,3
480402,689,0,31.31207657,120.5815887,F,3
480402,689,0,NULL,NULL,T,3
481296,-1,0,-1,-1,F,3
481889,656,0,31.07985306,120.2915726,F,5
481889,656,0,NULL,NULL,T,5
481889,656,0,NULL,NULL,F,5
481935,928,162,31.26833153,120.8633347,F,4
481935,928,162,NULL,NULL,T,4
481935,928,162,NULL,NULL,F,4
482488,211,0,NULL,NULL,T,3
482488,211,0,NULL,NULL,F,3
482488,211,0,31.31971169,120.6367111,F,3
483339,1060,331,NULL,NULL,T,4
483339,1060,331,NULL,NULL,F,4
483339,1060,331,31.31327248,120.665802,F,4
483897,-1,0,NULL,NULL,F,0
484045,-1,0,NULL,NULL,F,2
484115,-1,0,NULL,NULL,F,2
484252,1060,0,NULL,NULL,F,5
484252,1060,0,31.29496002,120.6800995,F,5
485127,211,281,NULL,NULL,F,2
485127,211,281,NULL,NULL,T,2
485127,211,281,31.31402588,120.6264343,F,2
485208,865,291,NULL,NULL,F,2
