starttime,hotelid,notcancelcii
2015-1-1,480402,57
2015-1-1,483339,15
2015-1-1,485214,45
2015-1-1,485354,69
2015-1-1,485485,29
2015-1-1,491009,33
2015-1-1,493151,15
2015-1-1,497880,7
2015-1-1,498396,19
2015-1-1,524713,9
2015-1-1,547841,17
2015-1-1,549262,9
2015-1-1,619600,49
2015-1-1,677337,43
2015-1-1,752357,15
2015-1-1,753355,9
2015-1-1,774724,3
2015-1-1,893558,15
2015-1-1,923828,79
2015-1-1,930326,35
2015-1-1,935411,3
2015-1-1,943048,3
2015-1-1,946096,125
2015-1-1,950440,3
2015-1-1,972506,29
2015-1-1,988366,7
2015-1-1,988426,3
2015-1-1,991230,15
2015-1-1,999597,5
2015-1-1,1101631,5
2015-1-1,1106684,3
2015-1-1,1188650,37
2015-1-1,1206492,21
2015-1-1,1207073,41
2015-1-1,1207166,3
2015-1-1,1207496,15
2015-1-1,1207706,3
2015-1-1,1218891,3
2015-1-1,1234011,5
2015-1-1,1243545,7
2015-1-1,1256520,3
2015-1-1,1283907,7
2015-1-1,1285381,13
2015-1-1,1320555,5
2015-1-1,1333915,53
2015-1-1,1377758,33
2015-1-1,1399484,3
2015-1-1,1414564,5
2015-1-1,1422804,37
2015-1-1,1445437,3
2015-1-1,1446547,9
2015-1-1,1488015,33
2015-1-1,1488024,17
2015-1-1,1488060,13
2015-1-1,1507659,61
2015-1-1,1507999,3
2015-1-1,1521818,7
2015-1-1,1525338,15
2015-1-1,1525653,17
2015-1-1,1526681,15
2015-1-1,1537324,3
2015-1-1,1538844,11
2015-1-1,1543382,7
2015-1-1,1544168,3
2015-1-1,1548390,5
2015-1-1,1558290,3
2015-1-1,1558373,3
2015-1-1,1558431,13
2015-1-1,1559835,7
2015-1-1,1565864,5
2015-1-1,1569685,3
2015-1-1,1575878,5
2015-1-1,1648047,7
2015-1-1,1677974,3
2015-1-1,1685727,13
2015-1-1,1687527,21
2015-1-1,1695798,97
2015-1-1,1698222,45
2015-1-1,1706497,3
2015-1-1,1715268,5
2015-1-1,1730553,9
2015-1-1,1731171,5
2015-1-1,1732808,15
2015-1-1,1733387,5
2015-1-1,1735148,17
2015-1-1,1735725,19
2015-1-1,1736369,13
2015-1-1,1747669,7
2015-1-1,1767488,5
2015-1-1,1793350,5
2015-1-1,1812361,15
2015-1-1,1814635,5
2015-1-1,1816938,9
2015-1-1,1817806,19
2015-1-1,1824533,3
2015-1-1,1824601,3
2015-1-1,1826842,5
2015-1-1,1831258,9
2015-1-1,1831373,3
2015-1-1,1831391,3
2015-1-1,1831670,5
2015-1-1,1840208,5
2015-1-1,1840234,3
2015-1-1,1865708,9
2015-1-1,1871262,3
2015-1-1,1903315,15
2015-1-1,1921482,7
2015-1-1,1928326,5
2015-1-1,1938266,3
2015-1-1,2028215,3
2015-1-1,2063687,3
2015-1-1,2145931,7
2015-1-1,2158125,5
2015-1-1,2188970,37
2015-1-1,2189036,5
2015-1-1,2189094,5
2015-1-1,2189132,7
2015-1-1,2192423,5
2015-1-1,2200378,3
2015-1-1,2208841,5
2015-1-1,2274786,5
2015-1-1,2319209,7
2015-1-1,2331534,3
2015-1-1,2371680,3
2015-1-1,2377103,25
2015-1-2,352972,159
2015-1-2,376834,193
2015-1-2,382765,75
2015-1-2,400229,33
2015-1-2,404224,69
2015-1-2,404868,81
2015-1-2,425560,25
2015-1-2,435150,73
2015-1-2,438233,73
2015-1-2,438644,35
2015-1-2,440020,157
2015-1-2,443426,35
2015-1-2,444258,97
2015-1-2,457059,3
2015-1-2,458431,9
2015-1-2,458583,7
2015-1-2,461897,17
2015-1-2,485208,3
2015-1-2,485319,9
2015-1-2,485598,9
2015-1-2,493433,3
2015-1-2,495558,81
2015-1-2,496651,125
2015-1-2,497004,3
2015-1-2,498223,41
2015-1-2,498416,39
2015-1-2,549524,15
2015-1-2,723934,7
2015-1-2,750327,15
2015-1-2,752473,3
2015-1-2,753232,9
2015-1-2,787610,65
2015-1-2,795531,7
2015-1-2,814273,9
2015-1-2,873508,3
2015-1-2,896007,35
2015-1-2,930376,5
2015-1-2,930483,5
2015-1-2,943212,21
2015-1-2,944521,5
2015-1-2,988288,11
2015-1-2,991179,5
2015-1-2,1026444,11
2015-1-2,1105449,13
2015-1-2,1125958,21
2015-1-2,1140655,27
2015-1-2,1193751,5
2015-1-2,1206306,9
2015-1-2,1206530,3
2015-1-2,1206696,7
2015-1-2,1206742,37
2015-1-2,1221802,11
2015-1-2,1241726,3
2015-1-2,1256197,3
2015-1-2,1274488,7
2015-1-2,1316335,5
2015-1-2,1320058,3
2015-1-2,1339940,3
2015-1-2,1392349,5
2015-1-2,1442884,7
2015-1-2,1487764,7
2015-1-2,1487914,11
2015-1-2,1489811,31
2015-1-2,1502957,3
2015-1-2,1503351,15
2015-1-2,1507592,11
2015-1-2,1517221,7
2015-1-2,1525834,11
2015-1-2,1525863,7
2015-1-2,1525878,5
2015-1-2,1526309,11
2015-1-2,1526603,7
2015-1-2,1526740,3
2015-1-2,1542793,13
2015-1-2,1542901,3
2015-1-2,1559669,3
2015-1-2,1575384,19
2015-1-2,1575915,5
2015-1-2,1577509,3
2015-1-2,1590918,3
2015-1-2,1626917,9
2015-1-2,1647957,3
2015-1-2,1667401,7
2015-1-2,1677914,53
2015-1-2,1685853,19
2015-1-2,1688077,21
2015-1-2,1701339,3
2015-1-2,1702479,5
2015-1-2,1731037,3
2015-1-2,1735204,11
2015-1-2,1741964,7
2015-1-2,1752323,3
2015-1-2,1756388,9
2015-1-2,1767442,5
2015-1-2,1794839,3
2015-1-2,1812367,21
2015-1-2,1816689,3
2015-1-2,1839352,3
2015-1-2,1839430,5
2015-1-2,1840172,3
2015-1-2,1840335,21
2015-1-2,1840371,3
2015-1-2,1845683,9
2015-1-2,1861703,3
2015-1-2,1927956,5
2015-1-2,1928015,13
2015-1-2,1929153,3
2015-1-2,2000263,7
2015-1-2,2028400,3
2015-1-2,2028507,5
2015-1-2,2145622,13
2015-1-2,2178768,15
2015-1-2,2188751,29
2015-1-2,2195278,7
2015-1-2,2374719,11
2015-1-2,351661,223
2015-1-2,352934,139
2015-1-2,353719,21
2015-1-2,376630,65
2015-1-2,392426,175
2015-1-2,394138,15
2015-1-2,394209,9
2015-1-2,401156,95
2015-1-2,405110,169
2015-1-2,424248,81
2015-1-2,427497,233
2015-1-2,434059,51
2015-1-2,434336,103
2015-1-2,440993,27
2015-1-2,442850,7
2015-1-2,443364,11
2015-1-2,444721,3
2015-1-2,448227,71
2015-1-2,451841,77
2015-1-2,451932,159
2015-1-2,453345,43
2015-1-2,453399,55
2015-1-2,459432,19
2015-1-2,462197,13
2015-1-2,478371,27
2015-1-2,478541,9
2015-1-2,478799,7
2015-1-2,482488,7
2015-1-2,485507,23
2015-1-2,494836,47
2015-1-2,496978,25
2015-1-2,497954,5
2015-1-2,547848,17
2015-1-2,549488,65
2015-1-2,704566,15
2015-1-2,711529,9
2015-1-2,721379,45
2015-1-2,745218,3
2015-1-2,753070,13
2015-1-2,753169,7
2015-1-2,753208,9
2015-1-2,753504,7
2015-1-2,787080,9
2015-1-2,869751,79
2015-1-2,916149,3
2015-1-2,919418,7
2015-1-2,929284,7
2015-1-2,930495,17
2015-1-2,940839,7
2015-1-2,965088,5
2015-1-2,983944,3
2015-1-2,991212,19
2015-1-2,1006264,5
2015-1-2,1008816,23
2015-1-2,1071934,37
2015-1-2,1072635,5
2015-1-2,1126066,15
2015-1-2,1139367,51
2015-1-2,1206515,25
2015-1-2,1206544,11
2015-1-2,1206840,9
2015-1-2,1206878,7
2015-1-2,1206920,11
2015-1-2,1207291,21
2015-1-2,1207866,5
2015-1-2,1236678,49
2015-1-2,1247747,5
2015-1-2,1303109,5
2015-1-2,1303442,21
2015-1-2,1318670,49
2015-1-2,1319973,5
2015-1-2,1324124,5
2015-1-2,1336747,5
2015-1-2,1419445,3
2015-1-2,1507696,67
2015-1-2,1515109,77
2015-1-2,1520595,3
2015-1-2,1525524,23
2015-1-2,1526203,5
2015-1-2,1526623,9
2015-1-2,1526641,7
2015-1-2,1526823,27
2015-1-2,1543830,3
2015-1-2,1552151,11
2015-1-2,1559763,9
2015-1-2,1575919,5
2015-1-2,1656379,5
2015-1-2,1668459,15
2015-1-2,1677647,37
2015-1-2,1678059,131
2015-1-2,1724150,5
2015-1-2,1735285,3
2015-1-2,1735386,13
2015-1-2,1735965,7
2015-1-2,1741886,5
2015-1-2,1764801,3
2015-1-2,1788758,3
2015-1-2,1793182,3
2015-1-2,1795067,3
2015-1-2,1812351,3
2015-1-2,1814553,3
2015-1-2,1814596,3
2015-1-2,1831276,5
2015-1-2,1840605,3
2015-1-2,1845703,3
2015-1-2,1889294,7
2015-1-2,1902733,9
2015-1-2,1921443,5
2015-1-2,1928439,3
2015-1-2,2164979,5
2015-1-2,2165485,3
2015-1-2,2294366,3
2015-1-2,2324014,31
2015-1-2,2370709,7
2015-1-2,119308,3
2015-1-2,351642,73
2015-1-2,376673,95
2015-1-2,382789,17
2015-1-2,382884,55
2015-1-2,385765,51
2015-1-2,399307,97
2015-1-2,436130,53
2015-1-2,436187,85
2015-1-2,439740,21
2015-1-2,441291,83
2015-1-2,443793,5
2015-1-2,444549,51
2015-1-2,445115,13
2015-1-2,446299,29
2015-1-2,446493,43
2015-1-2,448029,63
2015-1-2,461483,45
2015-1-2,466319,33
2015-1-2,478580,5
2015-1-2,481889,7
2015-1-2,485637,17
2015-1-2,486234,5
2015-1-2,498607,31
2015-1-2,498644,31
2015-1-2,548928,11
2015-1-2,705325,3
2015-1-2,721880,93
2015-1-2,732458,5
2015-1-2,751146,23
2015-1-2,752724,5
2015-1-2,814770,3
2015-1-2,873618,3
2015-1-2,874429,45
2015-1-2,909921,3
2015-1-2,917961,49
2015-1-2,983669,3
2015-1-2,983924,17
2015-1-2,991165,7
2015-1-2,1006258,19
2015-1-2,1017511,3
2015-1-2,1087593,119
2015-1-2,1206246,65
2015-1-2,1206458,9
2015-1-2,1207130,11
2015-1-2,1207675,11
2015-1-2,1207843,15
2015-1-2,1211065,5
2015-1-2,1218927,61
2015-1-2,1218968,7
2015-1-2,1218994,3
2015-1-2,1247673,15
2015-1-2,1262796,3
2015-1-2,1316533,3
2015-1-2,1339965,3
2015-1-2,1374660,7
2015-1-2,1389188,15
2015-1-2,1408392,3
2015-1-2,1444940,9
2015-1-2,1445475,5
2015-1-2,1487825,33
2015-1-2,1487979,17
2015-1-2,1494830,13
2015-1-2,1499435,45
2015-1-2,1521330,3
2015-1-2,1525614,5
2015-1-2,1526231,5
2015-1-2,1526790,7
2015-1-2,1552613,5
2015-1-2,1575922,3
2015-1-2,1578461,9
2015-1-2,1620713,11
2015-1-2,1656903,3
2015-1-2,1659913,7
2015-1-2,1667356,3
2015-1-2,1677592,131
2015-1-2,1677819,7
2015-1-2,1678077,55
2015-1-2,1678123,5
2015-1-2,1678153,3
2015-1-2,1711554,3
2015-1-2,1721744,5
2015-1-2,1731137,3
2015-1-2,1735624,3
2015-1-2,1747626,15
2015-1-2,1760726,9
2015-1-2,1773153,7
2015-1-2,1793208,9
2015-1-2,1814214,11
2015-1-2,1814389,9
2015-1-2,1814516,3
2015-1-2,1819741,7
2015-1-2,1828172,7
2015-1-2,1839003,5
2015-1-2,1845690,11
2015-1-2,1866127,3
2015-1-2,1866365,3
2015-1-2,1938151,3
2015-1-2,1938290,3
2015-1-2,2029097,3
2015-1-2,2063983,9
2015-1-2,2064012,9
2015-1-2,2083015,3
2015-1-2,2111007,5
2015-1-2,2165141,9
2015-1-2,2188917,33
2015-1-2,2188926,13
2015-1-2,2242746,7
2015-1-2,2290527,3
2015-1-2,2330836,3
2015-1-2,2341724,3
2015-1-2,2373499,41
2015-1-2,352941,93
2015-1-2,375003,75
2015-1-2,376800,41
2015-1-2,382749,99
2015-1-2,392481,25
2015-1-2,427515,29
2015-1-2,432833,41
2015-1-2,433206,13
2015-1-2,435498,57
2015-1-2,436236,19
2015-1-2,438637,13
2015-1-2,442909,13
2015-1-2,444381,31
2015-1-2,444756,21
2015-1-2,444795,29
2015-1-2,445072,11
2015-1-2,449729,83
2015-1-2,453937,71
2015-1-2,454474,57
2015-1-2,462210,23
2015-1-2,468493,3
2015-1-2,481935,37
2015-1-2,485359,11
2015-1-2,485945,11
2015-1-2,486386,11
2015-1-2,491916,3
2015-1-2,493182,9
2015-1-2,495222,17
2015-1-2,497979,65
2015-1-2,498716,57
2015-1-2,683555,11
2015-1-2,731974,3
2015-1-2,752287,7
2015-1-2,753467,5
2015-1-2,814976,11
2015-1-2,874136,3
2015-1-2,895981,3
2015-1-2,935199,45
2015-1-2,937732,3
2015-1-2,942523,29
2015-1-2,943557,17
2015-1-2,945829,17
2015-1-2,965066,17
2015-1-2,983749,19
2015-1-2,1067258,7
2015-1-2,1067770,5
2015-1-2,1072672,9
2015-1-2,1074655,3
2015-1-2,1085162,3
2015-1-2,1126019,3
2015-1-2,1126035,9
2015-1-2,1202193,33
2015-1-2,1206419,81
2015-1-2,1206593,29
2015-1-2,1207214,3
2015-1-2,1207579,15
2015-1-2,1228196,5
2015-1-2,1234168,5
2015-1-2,1236462,61
2015-1-2,1248761,5
2015-1-2,1249015,3
2015-1-2,1255842,3
2015-1-2,1256116,3
2015-1-2,1257787,5
2015-1-2,1273972,5
2015-1-2,1284573,7
2015-1-2,1287295,23
2015-1-2,1304012,3
2015-1-2,1313071,3
2015-1-2,1318298,3
2015-1-2,1407386,15
2015-1-2,1439481,5
2015-1-2,1465799,13
2015-1-2,1487965,9
2015-1-2,1517705,9
2015-1-2,1525580,17
2015-1-2,1525776,3
2015-1-2,1526762,3
2015-1-2,1535514,3
2015-1-2,1541992,3
2015-1-2,1562304,3
2015-1-2,1611401,3
2015-1-2,1677685,71
2015-1-2,1678100,11
2015-1-2,1685484,5
2015-1-2,1707763,31
2015-1-2,1709401,55
2015-1-2,1712976,7
2015-1-2,1731202,7
2015-1-2,1735053,5
2015-1-2,1735511,5
2015-1-2,1735879,3
2015-1-2,1736226,3
2015-1-2,1747250,5
2015-1-2,1747562,7
2015-1-2,1747736,3
2015-1-2,1793260,3
2015-1-2,1793331,3
2015-1-2,1799777,11
2015-1-2,1814729,3
2015-1-2,1861606,11
2015-1-2,1861731,3
2015-1-2,1868335,3
2015-1-2,1902946,13
2015-1-2,1921416,7
2015-1-2,1928156,5
2015-1-2,2028581,3
2015-1-2,2110800,3
2015-1-2,2188943,5
2015-1-2,2260432,19
2015-1-2,2362658,7
2015-1-2,2375813,3
2015-1-2,353729,79
2015-1-2,354071,105
2015-1-2,376665,139
2015-1-2,376734,175
2015-1-2,376846,219
2015-1-2,385788,29
2015-1-2,400713,161
2015-1-2,438861,13
2015-1-2,439053,113
2015-1-2,441209,19
