hotelid,one,two,three,four,five,six
1256452,988426,1408289,NULL,NULL,NULL,NULL
1256520,1487914,1207866,NULL,NULL,NULL,NULL
1256930,1265990,NULL,NULL,NULL,NULL,NULL
1257787,1987848,1451923,1667356,1667356,988366,1487825
1258233,1262796,1938266,919397,919397,1250970,1984067
1258474,1752323,NULL,NULL,NULL,NULL,NULL
1258838,2000135,NULL,NULL,NULL,NULL,NULL
1260327,1938266,1938151,485637,485637,NULL,NULL
1260458,1318670,445072,1374660,1374660,NULL,NULL
1260516,1487914,2331534,NULL,NULL,NULL,NULL
1262130,1831258,1921233,NULL,NULL,NULL,NULL
1262244,1251041,2153652,NULL,NULL,NULL,NULL
1262319,1273972,1278762,NULL,NULL,NULL,NULL
1262422,1857363,1866429,1235388,1235388,1728512,2174015
1262796,1938354,1248761,2010324,2010324,1258233,1509525
1264161,1938130,1938187,919397,919397,1216552,1831373
1264271,1578159,1608156,1207706,1207706,NULL,NULL
1265990,1256930,NULL,NULL,NULL,NULL,NULL
1273972,1660193,1959401,1262422,1262422,2174015,1262319
1274436,1207866,1487914,1255842,1255842,NULL,NULL
1274488,1677647,453345,353719,353719,376734,478541
1275834,1489811,1732370,1735879,1735879,1765231,1656214
1278588,1377758,NULL,NULL,NULL,NULL,NULL
1278762,1262319,NULL,NULL,NULL,NULL,NULL
1279370,1207214,491916,1764215,1764215,1207166,1763991
1279968,1469815,NULL,NULL,NULL,NULL,NULL
1283408,1303319,NULL,NULL,NULL,NULL,NULL
1284573,1558290,1736499,731192,731192,1426105,1732004
1284849,1814729,1318670,1814584,1814584,1735386,965066
1284869,1752258,1735879,1543830,1543830,2150553,939411
1285381,485214,497954,445115,445115,524713,1685853
1287253,1487914,1207866,NULL,NULL,NULL,NULL
1287295,440993,1544168,436236,436236,1788758,1701339
1300760,1218891,965088,1734622,1734622,1389188,524713
1300913,1399708,1399673,NULL,NULL,NULL,NULL
1303109,930572,1647957,1735678,1735678,1389188,1921233
1303319,1283408,NULL,NULL,NULL,NULL,NULL
1303442,1620057,1840208,1158301,1158301,704566,1668459
1303460,1105449,NULL,NULL,NULL,NULL,NULL
1304012,1678123,NULL,NULL,NULL,NULL,NULL
1304365,1231126,1609160,873552,873552,NULL,NULL
1311435,2324014,1228196,1830667,1830667,1575384,1202193
1312950,1232955,1487979,1904820,1904820,1685484,1526762
1313071,2165175,1207130,991230,991230,991165,2124634
1316335,1871668,1218891,1736499,1736499,1928156,1735646
1316533,1938279,1938266,752321,752321,1578461,2063983
1318298,1754823,752471,3032861,3032861,1839335,1840234
1318670,983749,1709401,485214,485214,445072,1817806
1319973,1555903,2462396,1858406,1858406,3065781,1765603
1320058,2165175,1558911,1243545,1243545,1231266,1237597
1320065,2362658,NULL,NULL,NULL,NULL,NULL
1320283,1736499,731192,1249650,1249650,1695266,753412
1320455,1732808,1207496,1694704,1694704,753169,1871262
1320555,787080,401156,673255,673255,439053,1507659
1320622,1704049,NULL,NULL,NULL,NULL,NULL
1323294,2722334,928816,1236346,1236346,1240010,1745681
1324124,1840335,1541992,1795959,1795959,1488060,1989162
1332890,1793208,NULL,NULL,NULL,NULL,NULL
1333915,1521818,436236,1206515,1206515,1499435,2188917
1339720,983749,NULL,NULL,NULL,NULL,NULL
1339757,2052666,1764135,2100044,2100044,1656379,NULL
1339965,1732808,895973,1831203,1831203,753169,1695266
1340159,1736226,1635967,1221570,1221570,NULL,1765603
1340338,1249612,1928521,1795043,1795043,814714,1928535
1340354,2022783,1875303,NULL,NULL,NULL,NULL
1348171,1735725,1525804,NULL,NULL,NULL,NULL
1348320,2012105,NULL,NULL,NULL,NULL,NULL
1348380,752933,1106317,1747626,1747626,943048,1942503
1348550,728689,NULL,NULL,NULL,NULL,NULL
1348807,1469803,NULL,NULL,NULL,NULL,NULL
1370824,1889294,1488015,NULL,NULL,NULL,NULL
1374660,1928269,991212,1206696,1206696,1526740,2385751
1376595,1223334,NULL,NULL,NULL,NULL,NULL
1377758,2290527,1206544,1812367,1812367,1575878,1525878
1384385,1754823,752471,1013234,1013234,1839335,1840234
1385143,2188926,2701951,1006264,1006264,893477,2111007
1385258,1871668,1489811,1845690,1845690,1235617,2111007
1385523,1736499,1561900,1451923,1451923,1732004,1249146
1385682,1735053,1565864,2290527,2290527,1236678,1968626
1385763,1814767,1689696,1218994,1218994,1407386,NULL
1388405,751146,1839430,1840324,1840324,983658,NULL
1388618,497880,NULL,NULL,NULL,NULL,NULL
1388726,1735678,1921233,NULL,NULL,NULL,NULL
1389188,965088,1735879,1216552,1216552,NULL,486386
1389535,1422804,1206246,NULL,NULL,NULL,NULL
1392349,1207843,1865540,1318670,1318670,1817806,916149
1399484,1620057,2975433,1013078,1013078,NULL,NULL
1399673,1300913,NULL,NULL,NULL,NULL,NULL
1399708,1300913,NULL,NULL,NULL,NULL,NULL
1400396,1246555,1664552,909884,909884,NULL,NULL
1400399,931810,NULL,NULL,NULL,NULL,NULL
1407117,1901631,1772812,1767442,1767442,1764100,1779511
1407386,937663,1820740,1685727,1685727,1247673,1816480
1407406,1238263,1241726,1507344,1507344,1235617,1837657
1407816,1206920,1865708,NULL,NULL,NULL,NULL
1408070,1246051,NULL,NULL,NULL,NULL,NULL
1408245,445230,485637,485319,485319,NULL,NULL
